Model Name产品名称（默认调用当前生产程序名）,Line Number 线体号（有界面可以自定义设置）,,,,,,,,
MYC-Y6ULY2V2-256N256D-50-I-AKEDL,0,,,,,,,,
Board Status（整板检测结果）,Pass（整板检测结果：GOOD，PASS，NG),Board BarCode 整板条码,NOREAD（条码内容：设备自动获取，没有条码时输出NOREAD）,,,,,,
ArrayID（拼版序号）,1,ArrayStatus,Good,ArrayBarCode（拼版条码）,有制作拼版条码时输出拼版条码内容，没有拼版条码时输出为空,,,,
ArrayID,2,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,3,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,4,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,5,ArrayStatus,Pass,ArrayBarCode,,,,,
ArrayID,6,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,7,ArrayStatus,Good,ArrayBarCode,,,,,
ArrayID,8,ArrayStatus,Good,ArrayBarCode,,,,,
MYC-Y6ULY2V2-256N256D-50-I-AKEDL(2022-10-21 11:35:51 - 2022-10-21 11:36:04),,当前产品测试时间,,,,,,,
Total（整板元件数量）,711,NG（NG元件数量）,0,UserOK（人工复判OK元件数量）,3,Good（设备检测OK元件数量）,708,,
WorkTime测试时间,ImagePath（元件图片保存路径）,Board Barcode（整板条码）,Array Index（拼板序号）,Array BarCode（拼板条码）, Package Type（元件封装类型）,Component Index（元件料号）,Part Designate（元件位置号）,Result（元件检测结果）,Defect（不良类型）
2022/10/21 11:35,,NOREAD,3,,NULL,104169,C61,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,312041,C62,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,104229,C63,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,104324,C67,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,7076,C69,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2189,C7,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,104685,C71,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,3484,C72,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,363948,C74,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,363960,C75,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,363972,C76,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,104721,C79,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,312051,C80,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,105325,C82,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,105372,C84,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,143444,L4,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,143452,L9,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,75100,R1,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,75374,R14,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,145649,R18,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2218,R192,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2219,R193,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2220,R194,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2221,R2,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2223,R209,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,117412,R210,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,117420,R211,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,146256,R215,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,61705,R216,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,61713,R217,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,61721,R218,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,61729,R219,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,76332,R222,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,75634,R245,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,75677,R247,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2238,R28,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2239,R3,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2240,R30,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2241,R46,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2242,R47,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,2243,R48,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,75976,R5,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,132354,R6,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,75926,R66,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,76138,R67,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,132355,R8,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,76269,R81,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,419803,RR2,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,419824,RR3,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,419845,RR4,Good,
2022/10/21 11:35,F:\DataExport\MYC-Y6ULY2V2-256N256D-50-I-AKEDL\NOREAD_20221021113551\Component\SinicTek-AOI_NOREAD_1_3_20221021113551_20103.00006_[L7]_U1_2_91.jpg,NOREAD,3,,NULL,404221,U1,Pass,错件
2022/10/21 11:35,,NOREAD,3,,NULL,407355,U14,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,408596,U2,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,378809,U4,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,405715,U5,Good,
2022/10/21 11:35,,NOREAD,3,,NULL,376832,U6,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,2270,C1,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,3492,C102,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,312071,C104,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,6017,C124,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,3500,C125,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,6109,C129,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,3524,C130,Good,
2022/10/21 11:35,,NOREAD,4,,NULL,102586,C147,Good,
