JobName,JobVersion,PCBID,PCBBarcode,PadID,ShapeType,ShapeID,PosX,PosY,SizeX,SizeY,Rotation,ABSArea,ABSVolume,ABSHeight,PerArea,PerVolume,PerHeight,ShiftX,PerShiftX,ShiftY,PerShiftY,JudgeRes,DefectType,Check,CheckArea,AreaU,AreaL,CheckVol,VolU,VolL,CheckHeight,HeightU,HeightL,CheckOffset,ShiftXU,ShiftXUPercent,ShiftYU,ShiftYUPercent,CheckShape,ShapeDeltaU,CheckStencilHeight,StencilHeight,CheckBridge,BridgeWidth,BridgeLength,BridgeHeight,ComponentID,PackageType,PinNumber,PadGroup,ArrayID,Squeege,SqueegeID,LotNo,ArrayBarcode,LineNo,InspectTimeStamp,ComponentIDAverageHeight,PadArea,ABSShape,LaneNo,AreaResult,VolumeResult,HeightResult,AreaStandard,VolumeStandard,AreaSection
BFB-0025-B3A502757,v202305181423470001900018,26758,,370,Poly,2,109529.0,-18600.0,700.0,200.0,0,116193.0,13709600.0,118.0,84.3%,82.9%,98.3%,16.3,2.3%,17.1,8.6%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,10,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,23.6,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,371,Poly,2,109529.0,-19000.0,700.0,200.0,0,122960.0,15954500.0,129.8,89.3%,96.5%,108.1%,19.7,2.8%,16.0,8.0%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,11,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,26.0,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,372,Poly,2,109529.0,-19400.0,700.0,200.0,0,140718.0,20036800.0,142.4,102.1%,121.2%,118.7%,6.2,0.9%,19.6,9.8%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,12,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,28.5,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,373,Poly,1,113142.0,-26080.0,350.0,300.0,0,78998.8,7942610.0,100.5,82.0%,68.7%,83.8%,15.3,4.4%,26.4,8.8%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,13,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,20.1,1,Good,Good,Good,96285.0,11554200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,374,Poly,1,113742.0,-26080.0,350.0,300.0,0,77920.1,9605420.0,123.3,80.9%,83.1%,102.7%,15.4,4.4%,30.4,10.1%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,14,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,24.7,1,Good,Good,Good,96285.0,11554200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,375,Poly,5,111979.0,-25930.0,500.0,800.0,90,404952.0,52939700.0,130.7,103.5%,112.8%,108.9%,14.8,3.0%,19.8,2.5%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,15,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,26.1,1,Good,Good,Good,391199.9,46943990.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,377,Poly,2,112129.0,-19400.0,700.0,200.0,0,140311.0,18066900.0,128.8,101.9%,109.3%,107.3%,2.5,0.4%,24.4,12.2%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,17,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,25.8,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,378,Poly,2,112129.0,-19000.0,700.0,200.0,0,132924.0,16679600.0,125.5,96.5%,100.9%,104.6%,6.2,0.9%,19.7,9.9%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,18,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,25.1,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,379,Poly,2,112129.0,-18600.0,700.0,200.0,0,126784.0,16090000.0,126.9,92.0%,97.3%,105.8%,21.5,3.1%,16.2,8.1%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,19,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,25.4,1,Good,Good,Good,137760.0,16531200.0,0.0
BFB-0025-B3A502757,v202305181423470001900018,26758,,382,Poly,5,110479.0,-25930.0,500.0,800.0,90,396626.0,54009700.0,136.2,101.4%,115.1%,113.5%,22.5,4.5%,13.6,1.7%,Good,,True,True,250.0%,25.0%,True,200.0%,25.0%,True,200.0%,50.0%,True,,25.0,,25.0,False,150.0,False,120.0,True,50.0,300.0,50.0,1,1,22,1805,15,Front,,,,SMT01,2023-05-23 10:08:21,126.4,0.0,27.2,1,Good,Good,Good,391199.9,46943990.0,0.0
